Word	Sentiment category	Valence score
confused	neg	-0.56
mad	neg	-0.562
restless	neg	-0.562
obsessed	neg	-0.562
bitter	neg	-0.564
frantic	neg	-0.58
vicious	neg	-0.584
ruthless	neg	-0.584
bleak	neg	-0.592
savage	neg	-0.592
vulnerable	neg	-0.604
crude	neg	-0.604
ragged	neg	-0.604
dull	neg	-0.612
boring	neg	-0.612
appalled	neg	-0.612
inefficient	neg	-0.62
hostile	neg	-0.624
absurd	neg	-0.624
dumb	neg	-0.624
weak	neg	-0.64
unwanted	neg	-0.646
destructive	neg	-0.646
negligible	neg	-0.646
irresponsible	neg	-0.646
unfair	neg	-0.654
ugly	neg	-0.666
unstable	neg	-0.666
troubled	neg	-0.666
appalling	neg	-0.68
ridiculous	neg	-0.682
stubborn	neg	-0.686
poor	neg	-0.688
crazy	neg	-0.688
ashamed	neg	-0.688
incapable	neg	-0.688
cynical	neg	-0.688
explosive	neg	-0.688
outraged	neg	-0.688
impossible	neg	-0.694
dirty	neg	-0.694
frightened	neg	-0.694
suspicious	neg	-0.694
outrageous	neg	-0.694
scared	neg	-0.708
disturbing	neg	-0.708
depressing	neg	-0.708
intolerable	neg	-0.708
perverse	neg	-0.708
distressed	neg	-0.714
unwise	neg	-0.718
unsuccessful	neg	-0.72
wicked	neg	-0.724
ludicrous	neg	-0.726
guilty	neg	-0.73
inappropriate	neg	-0.73
offensive	neg	-0.73
wretched	neg	-0.73
stupid	neg	-0.734
unacceptable	neg	-0.734
bad	very neg	-0.75
aggressive	very neg	-0.75
sinister	very neg	-0.75
irrational	very neg	-0.75
greedy	very neg	-0.75
powerless	very neg	-0.75
clumsy	very neg	-0.75
ghastly	very neg	-0.75
unbearable	very neg	-0.75
angry	very neg	-0.756
inadequate	very neg	-0.756
cruel	very neg	-0.756
unpleasant	very neg	-0.756
frightening	very neg	-0.756
defective	very neg	-0.756
brutal	very neg	-0.756
paranoid	very neg	-0.756
false	very neg	-0.76
gross	very neg	-0.77
nasty	very neg	-0.77
unreasonable	very neg	-0.77
uneasy	very neg	-0.77
filthy	very neg	-0.77
arrogant	very neg	-0.77
chaotic	very neg	-0.77
unwelcome	very neg	-0.77
unsafe	very neg	-0.77
unjust	very neg	-0.77
immature	very neg	-0.772
insecure	very neg	-0.772
violent	very neg	-0.776
unhappy	very neg	-0.776
treacherous	very neg	-0.776
irritable	very neg	-0.776
unreliable	very neg	-0.784
gloomy	very neg	-0.786
sick	very neg	-0.792
helpless	very neg	-0.792
rotten	very neg	-0.792
irritating	very neg	-0.792
negative	very neg	-0.796
ignorant	very neg	-0.796
damned	very neg	-0.8
worried	very neg	-0.812
unemployed	very neg	-0.812
unlawful	very neg	-0.812
harmful	very neg	-0.812
hopeless	very neg	-0.812
horrific	very neg	-0.812
monstrous	very neg	-0.812
deviant	very neg	-0.812
ineffective	very neg	-0.814
dreadful	very neg	-0.816
hideous	very neg	-0.818
terrified	very neg	-0.82
pathetic	very neg	-0.824
pessimistic	very neg	-0.824
desperate	very neg	-0.834
hungry	very neg	-0.834
fearful	very neg	-0.834
insignificant	very neg	-0.834
indecent	very neg	-0.834
worthless	very neg	-0.834
vulgar	very neg	-0.834
annoying	very neg	-0.836
disgraceful	very neg	-0.836
frustrated	very neg	-0.84
unfortunate	very neg	-0.854
disappointing	very neg	-0.854
problematic	very neg	-0.854
fake	very neg	-0.854
disappointed	very neg	-0.858
horrible	very neg	-0.858
upset	very neg	-0.858
disastrous	very neg	-0.858
furious	very neg	-0.876
miserable	very neg	-0.876
insane	very neg	-0.876
terrible	very neg	-0.878
awful	very neg	-0.878
rude	very neg	-0.878
selfish	very neg	-0.878
racist	very neg	-0.878
useless	very neg	-0.896
obscene	very neg	-0.9
tragic	very neg	-0.904
wrong	very neg	-0.916
frustrating	very neg	-0.916
dissatisfied	very neg	-0.916
evil	very neg	-0.92
dying	very neg	-0.92
bloody	very neg	-0.938
disgusting	very neg	-0.938
terrifying	very neg	-0.938
depressed	very neg	-0.952
criminal	very neg	-0.958
dangerous	very neg	-0.96
corrupt	very neg	-0.96
afraid	very neg	-0.98
toxic	very neg	-0.984
